slug,label,figma_key,figma_path,type,default_value,scss_target,theme_json_target
heading-6-letter-spacing,Heading 6 letter spacing,,,string,normal,heading-6-letter-spacing,
TYPOGRAPHY – HEADINGS (Text transform),,,,,,,
heading-1-text-transform,Heading 1 text transform,,headings.desktop.0.textTransform,string,none,heading-1-text-transform,
heading-2-text-transform,Heading 2 text transform,,headings.desktop.1.textTransform,string,none,heading-2-text-transform,
heading-3-text-transform,Heading 3 text transform,,headings.desktop.2.textTransform,string,none,heading-3-text-transform,
heading-4-text-transform,Heading 4 text transform,,headings.desktop.3.textTransform,string,none,heading-4-text-transform,
heading-5-text-transform,Heading 5 text transform,,headings.desktop.4.textTransform,string,none,heading-5-text-transform,
heading-6-text-transform,Heading 6 text transform,,headings.desktop.5.textTransform,string,none,heading-6-text-transform,
TYPOGRAPHY – HEADINGS (Font size mobile),,,,,,,
heading-1-font-size-mobile,Heading 1 font size (mobile),,headings.mobile.0.fontSize,px,,,custom.font-size.mobile.heading1
heading-2-font-size-mobile,Heading 2 font size (mobile),,headings.mobile.1.fontSize,px,,,custom.font-size.mobile.heading2
heading-3-font-size-mobile,Heading 3 font size (mobile),,headings.mobile.2.fontSize,px,,,custom.font-size.mobile.heading3
heading-4-font-size-mobile,Heading 4 font size (mobile),,headings.mobile.3.fontSize,px,,,custom.font-size.mobile.heading4
heading-5-font-size-mobile,Heading 5 font size (mobile),,headings.mobile.4.fontSize,px,,,custom.font-size.mobile.heading5
heading-6-font-size-mobile,Heading 6 font size (mobile),,headings.mobile.5.fontSize,px,,,custom.font-size.mobile.heading6
TYPOGRAPHY – HEADINGS (Font size desktop),,,,,,,
heading-1-font-size-desktop,Heading 1 font size (desktop),,headings.desktop.0.fontSize,px,,,custom.font-size.desktop.heading1
heading-2-font-size-desktop,Heading 2 font size (desktop),,headings.desktop.1.fontSize,px,,,custom.font-size.desktop.heading2
heading-3-font-size-desktop,Heading 3 font size (desktop),,headings.desktop.2.fontSize,px,,,custom.font-size.desktop.heading3
heading-4-font-size-desktop,Heading 4 font size (desktop),,headings.desktop.3.fontSize,px,,,custom.font-size.desktop.heading4
heading-5-font-size-desktop,Heading 5 font size (desktop),,headings.desktop.4.fontSize,px,,,custom.font-size.desktop.heading5
heading-6-font-size-desktop,Heading 6 font size (desktop),,headings.desktop.5.fontSize,px,,,custom.font-size.desktop.heading6
LINKS,,,,,,,
link-color,Link color,,,scss-ref,$color-brand-1,link-color,
link-hover-color,Link hover color,,,string,"color-mix(in srgb, $color-brand-1 80%, white)",link-hover-color,
link-letter-spacing,Link letter spacing,,,string,normal,link-letter-spacing,
link-font-weight,Link font weight,,,string,inherit,link-font-weight,
link-text-decoration,Link text decoration,,,string,underline,link-text-decoration,
link-hover-text-decoration,Link hover text decoration,,,string,none,link-hover-text-decoration,
BUTTONS – PRIMARY,,,,,,,
button-primary-color,Button primary color,,buttons.0.fontColor,hex,$color-dark,button-primary-font-color,
button-primary-background-color,Button primary background color,,buttons.0.backgroundColor,hex,$color-primary,button-primary-background-color,
button-primary-border-radius,Button primary border radius,,,scss-ref,$default-border-radius,button-primary-border-radius,
button-primary-padding-x,Button primary padding X,,buttons.0.paddingX,rem,1.5rem,button-primary-padding-x,
button-primary-padding-y,Button primary padding Y,,buttons.0.paddingY,rem,0.5rem,button-primary-padding-y,
button-primary-font-size,Button primary font size,,buttons.0.fontSize,rem,1.125rem,button-primary-font-size,
button-primary-font-weight,Button primary font weight,,buttons.0.fontWeight,number,700,button-primary-font-weight,
button-primary-letter-spacing,Button primary letter spacing,,,string,0.05em,button-primary-letter-spacing,
button-primary-text-transform,Button primary text transform,,buttons.0.textTransform,string,uppercase,button-primary-text-transform,
BUTTONS – SECONDARY,,,,,,,
button-secondary-color,Button secondary color,,buttons.1.fontColor,hex,$color-dark,button-secondary-font-color,
button-secondary-background-color,Button secondary background color,,buttons.1.backgroundColor,hex,$color-secondary,button-secondary-background-color,
button-secondary-border-radius,Button secondary border radius,,,scss-ref,$default-border-radius,button-secondary-border-radius,
button-secondary-padding-x,Button secondary padding X,,buttons.1.paddingX,rem,1.5rem,button-secondary-padding-x,
button-secondary-padding-y,Button secondary padding Y,,buttons.1.paddingY,rem,0.5rem,button-secondary-padding-y,
